2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"BestFitDecreasing\two-cat\test2.txt",64000,10.4278,10.0098,us,,,,,,10,29
"FirstFit\two-cat\test3.txt",194783,3.6776,3.52957,us,,,,,,9,25
"FirstFitDecreasing\two-cat\test3.txt",100000,5.58579,5.625,us,,,,,,9,25
"BestFit\two-cat\test3.txt",149333,4.67488,4.70844,us,,,,,,9,25
"BestFitDecreasing\two-cat\test3.txt",89600,8.29868,8.37054,us,,,,,,9,25
"FirstFit\two-cat\test4.txt",186667,10.5681,9.6261,us,,,,,,10,25
"FirstFitDecreasing\two-cat\test4.txt",89600,12.6077,11.1607,us,,,,,,10,25
"BestFit\two-cat\test4.txt",64000,13.5242,11.4746,us,,,,,,10,25
"BestFitDecreasing\two-cat\test4.txt",49778,19.7572,16.6364,us,,,,,,10,25
"FirstFit\two-cat\test5.txt",248889,3.38798,2.57394,us,,,,,,3,5
"FirstFitDecreasing\two-cat\test5.txt",545204,1.26297,1.261,us,,,,,,3,5
"BestFit\two-cat\test5.txt",640000,1.13206,1.14746,us,,,,,,3,5
"BestFitDecreasing\two-cat\test5.txt",497778,1.41857,1.38114,us,,,,,,3,5
"FirstFit\two-cat\test6.txt",746667,0.924303,0.920759,us,,,,,,2,6
"FirstFitDecreasing\two-cat\test6.txt",560000,1.24224,1.25558,us,,,,,,2,6
"BestFit\two-cat\test6.txt",640000,1.07702,1.0498,us,,,,,,2,6
"BestFitDecreasing\two-cat\test6.txt",497778,1.41369,1.41253,us,,,,,,2,6
"FirstFit\two-cat\test7.txt",448000,1.59315,1.56948,us,,,,,,4,10
"FirstFitDecreasing\two-cat\test7.txt",344615,2.06325,2.08566,us,,,,,,4,10
"BestFit\two-cat\test7.txt",373333,1.77819,1.75781,us,,,,,,4,10
"BestFitDecreasing\two-cat\test7.txt",298667,2.51096,2.51116,us,,,,,,4,10
"FirstFit\two-cat\test8.txt",224000,3.21709,3.20871,us,,,,,,9,22
"FirstFitDecreasing\two-cat\test8.txt",172308,4.17189,4.26199,us,,,,,,8,22
"BestFit\two-cat\test8.txt",172308,4.05274,3.80859,us,,,,,,9,22
"BestFitDecreasing\two-cat\test8.txt",112000,6.85087,6.69643,us,,,,,,8,22
"FirstFit\two-cat\test9.txt",213333,3.28191,3.2959,us,,,,,,9,22
"FirstFitDecreasing\two-cat\test9.txt",100000,5.06484,5,us,,,,,,9,22
"BestFit\two-cat\test9.txt",165926,4.22199,4.14341,us,,,,,,9,22
"BestFitDecreasing\two-cat\test9.txt",89600,7.5832,7.32422,us,,,,,,9,22
"FirstFit\two-cat\test10.txt",186667,7.27661,6.61271,us,,,,,,9,28
"FirstFitDecreasing\two-cat\test10.txt",44800,12.0217,12.207,us,,,,,,9,28
"BestFit\two-cat\test10.txt",64000,12.3672,11.4746,us,,,,,,9,28
"BestFitDecreasing\two-cat\test10.txt",32000,22.1472,22.4609,us,,,,,,9,28
"FirstFit\two-cat\test11.txt",74667,9.38503,8.99829,us,,,,,,9,23
"FirstFitDecreasing\two-cat\test11.txt",56000,12.0087,11.1607,us,,,,,,8,23
"BestFit\two-cat\test11.txt",74667,10.2231,9.83534,us,,,,,,9,23
"BestFitDecreasing\two-cat\test11.txt",40727,17.7754,13.8115,us,,,,,,8,23
"FirstFit\two-cat\test12.txt",100000,5.45328,5,us,,,,,,5,12
"FirstFitDecreasing\two-cat\test12.txt",267605,6.10357,5.43011,us,,,,,,5,12
"BestFit\two-cat\test12.txt",112000,6.20428,5.71987,us,,,,,,5,12
"BestFitDecreasing\two-cat\test12.txt",74667,8.41647,7.95197,us,,,,,,5,12
"FirstFit\two-cat\test13.txt",194783,2.71169,2.56696,us,,,,,,8,19
"FirstFitDecreasing\two-cat\test13.txt",160000,4.56389,4.29688,us,,,,,,8,19
"BestFit\two-cat\test13.txt",213333,3.45833,3.2959,us,,,,,,8,19
"BestFitDecreasing\two-cat\test13.txt",112000,5.80029,5.71987,us,,,,,,8,19
"FirstFit\two-cat\test14.txt",497778,1.46188,1.41253,us,,,,,,4,9
"FirstFitDecreasing\two-cat\test14.txt",344615,1.98451,1.9043,us,,,,,,4,9
"BestFit\two-cat\test14.txt",407273,1.70972,1.61133,us,,,,,,4,9
"BestFitDecreasing\two-cat\test14.txt",298667,2.32906,2.35421,us,,,,,,4,9
"FirstFit\two-cat\test15.txt",203636,3.39723,3.45285,us,,,,,,9,23
"FirstFitDecreasing\two-cat\test15.txt",149333,4.57273,4.49917,us,,,,,,8,23
"BestFit\two-cat\test15.txt",160000,4.55133,4.49219,us,,,,,,9,23
"BestFitDecreasing\two-cat\test15.txt",112000,7.05708,6.97545,us,,,,,,8,23
"FirstFit\two-cat\test16.txt",407273,1.7931,1.80315,us,,,,,,4,14
"FirstFitDecreasing\two-cat\test16.txt",280000,2.435,2.39955,us,,,,,,4,14
"BestFit\two-cat\test16.txt",320000,2.24737,2.24609,us,,,,,,4,14
"BestFitDecreasing\two-cat\test16.txt",203636,3.41397,3.37612,us,,,,,,4,14
"FirstFit\two-cat\test17.txt",263529,2.7491,2.66811,us,,,,,,6,19
"FirstFitDecreasing\two-cat\test17.txt",179200,3.89497,3.57492,us,,,,,,5,19
"BestFit\two-cat\test17.txt",213333,3.29691,3.2959,us,,,,,,6,19
"BestFitDecreasing\two-cat\test17.txt",144516,11.0515,10.1632,us,,,,,,5,19
"FirstFit\two-cat\test18.txt",100000,5.83474,5.46875,us,,,,,,6,14
"FirstFitDecreasing\two-cat\test18.txt",89600,8.05633,7.84738,us,,,,,,5,14
"BestFit\two-cat\test18.txt",89600,6.24767,5.92913,us,,,,,,6,14
"BestFitDecreasing\two-cat\test18.txt",74667,10.3456,8.57976,us,,,,,,5,14
"FirstFit\two-cat\test19.txt",64000,12.2827,9.76562,us,,,,,,10,29
"FirstFitDecreasing\two-cat\test19.txt",37333,16.9092,15.9042,us,,,,,,9,29
"BestFit\two-cat\test19.txt",56000,13.4372,12.5558,us,,,,,,10,29
"BestFitDecreasing\two-cat\test19.txt",32000,22.6601,21.4844,us,,,,,,9,29
"FirstFit\two-cat\test20.txt",100000,5.49849,5,us,,,,,,5,14
"FirstFitDecreasing\two-cat\test20.txt",100000,6.8029,6.09375,us,,,,,,4,14
"BestFit\two-cat\test20.txt",112000,6.82773,6.55692,us,,,,,,5,14
"BestFitDecreasing\two-cat\test20.txt",89600,9.35355,8.89369,us,,,,,,4,14
"FirstFit\two-cat\test21.txt",100000,7.12182,6.5625,us,,,,,,7,17
"FirstFitDecreasing\two-cat\test21.txt",64000,9.0029,8.78906,us,,,,,,7,17
"BestFit\two-cat\test21.txt",89600,8.13708,8.19615,us,,,,,,7,17
"BestFitDecreasing\two-cat\test21.txt",74667,12.5745,12.5557,us,,,,,,7,17
"FirstFit\two-cat\test22.txt",112000,6.82117,6.41741,us,,,,,,7,17
"FirstFitDecreasing\two-cat\test22.txt",64000,9.92817,9.52148,us,,,,,,7,17
"BestFit\two-cat\test22.txt",89600,8.298,7.14983,us,,,,,,7,17
"BestFitDecreasing\two-cat\test22.txt",74667,11.954,10.2539,us,,,,,,7,17
